,Symbol,Crypto
0,BTC,Bitcoin
1,ETH,Ethereum
2,BNB,BNB
3,XRP,XRP
4,USDT,Tether
5,ADA,Cardano
6,DOT,Polkadot
7,UNI,Uniswap
8,LTC,Litecoin
9,LINK,Chainlink
10,XLM,Stellar
11,BCH,Bitcoin Cash
12,THETA,Theta Network
13,FIL,Filecoin
14,USDC,USD Coin
15,TRX,TRON
16,DOGE,Dogecoin
17,WBTC,Wrapped Bitcoin
18,VET,VeChain
19,SOL,Solana
20,KLAY,Klaytn
21,EOS,EOS
22,XMR,Monero
23,LUNA,Terra
24,MIOTA,IOTA
25,BTT,BitTorrent-New
26,CRO,Cronos
27,BUSD,Binance USD
28,FTT,FTX Token
29,AAVE,Aave
30,BSV,Bitcoin SV
31,XTZ,Tezos
32,ATOM,Cosmos
33,NEO,Neo
34,AVAX,Avalanche
35,ALGO,Algorand
36,CAKE,PancakeSwap
37,HT,Huobi Token
38,EGLD,Elrond
39,XEM,NEM
40,KSM,Kusama
41,BTCB,Bitcoin BEP2
42,DAI,Dai
43,HOT,Holo
44,CHZ,Chiliz
45,DASH,Dash
46,HBAR,Hedera
47,RUNE,THORChain
48,MKR,Maker
49,ZEC,Zcash
50,ENJ,Enjin Coin
51,DCR,Decred
52,MKR,Maker
53,ETC,Ethereum Classic
54,GRT,The Graph
55,COMP,Compound
56,STX,Stacks
57,NEAR,NEAR Protocol
58,SNX,Synthetix
59,ZIL,Zilliqa
60,BAT,Basic Attention Token
61,LEO,UNUS SED LEO
62,SUSHI,SushiSwap
63,MATIC,Polygon
64,BTG,Bitcoin Gold
65,NEXO,Nexo
66,TFUEL,Theta Fuel
67,ZRX,0x
68,UST,TerraUSD
69,CEL,Celsius
70,MANA,Decentraland
71,YFI,yearn.finance
72,UMA,UMA
73,WAVES,Waves
74,RVN,Ravencoin
75,ONT,Ontology
76,ICX,ICON
77,QTUM,Qtum
78,ONE,Harmony
79,KCS,KuCoin Token
80,OMG,OMG Network
81,FLOW,Flow
82,OKB,OKB
83,BNT,Bancor
84,HNT,Helium
85,SC,Siacoin
86,DGB,DigiByte
87,RSR,Reserve Rights
88,DENT,Dent
89,ANKR,Ankr
90,REV,Revain
91,NPXS,Pundi X (Old)
92,VGX,Voyager Token
93,FTM,Fantom
94,CHSB,SwissBorg
95,REN,Ren
96,IOST,IOST
97,CELO,Celo
98,CFX,Conflux
